"Produto interior bruto (PIB) por concello. Revisión Estatística 2019. Serie 2010-2020";"";""
"";"";""
"Unidade: Miles de euros/euros por habitante";"";""
"Variables en filas: Tempo, Espazo";"";""
"Variables en columnas: Unidade";"";""
"Variables de corte: Variables=Produto interior bruto";"";""
"";"Miles de euros";"Euros por habitante"
"2020";"";""
"27066 Viveiro";"291.456";"19.532"
"27025 Xove";"79.720";"24.187"
"27005 Barreiros";"54.166";"17.789"
"27048 Pontenova, A";"45.482";"20.178"
"27051 Ribadeo";"164.217";"16.881"
"27061 Trabada";"22.028";"19.272"
"27029 Meira";"47.559";"27.115"
"27046 Pol";"45.813";"28.055"
"27053 Ribeira de Piquín, A";"13.107";"22.995"
"27054 Riotorto";"24.674";"20.011"
"27017 Folgoso do Courel";"20.122";"19.943"
"27050 Quiroga";"57.626";"17.758"
"27052 Ribas de Sil";"17.351";"15.948"
"27024 Incio, O";"29.367";"18.587"
"27026 Láncara";"49.238";"20.130"
"27042 Paradela";"29.389";"16.861"
"27043 Páramo, O";"26.416";"18.963"
"27055 Samos";"19.728";"15.595"
"27057 Sarria";"258.947";"19.470"
"27062 Triacastela";"10.595";"15.535"
"27001 Abadín";"77.326";"34.321"
"27007 Begonte";"51.760";"17.021"
"27010 Castro de Rei";"118.189";"22.603"
"27015 Cospeito";"72.249";"16.368"
"27022 Guitiriz";"107.216";"19.413"
"27033 Muras";"60.865";"88.338"
"27044 Pastoriza";"87.804";"29.744"
"27065 Vilalba";"311.576";"22.591"
"27021 Xermade";"31.013";"16.984"
"27008 Bóveda";"19.290";"12.542"
"27031 Monforte de Lemos";"317.664";"17.316"
"27041 Pantón";"29.988";"12.464"
"27047 Pobra do Brollón, A";"25.146";"15.324"
"27058 Saviñao, O";"57.597";"15.955"
"27059 Sober";"25.932";"11.603"
"27003 Antas de Ulla";"30.665";"15.032"
"27032 Monterroso";"82.877";"22.460"
"27040 Palas de Rei";"79.390";"24.234"
"32001 Allariz";"84.805";"13.794"
"32007 Baños de Molgas";"18.535";"12.250"
"32043 Maceda";"56.833";"19.665"
"32055 Paderne de Allariz";"14.134";"10.176"
"32036 Xunqueira de Ambía";"20.397";"15.302"
"32037 Xunqueira de Espadanedo";"12.971";"16.234"
"32006 Bande";"27.999";"17.902"
"32030 Entrimo";"11.754";"9.634"
"32041 Lobeira";"11.005";"12.365"
"32042 Lobios";"27.239";"15.809"
"32051 Muíños";"17.654";"11.761"
"32011 Beariz";"9.231";"9.546"
"32013 Boborás";"24.266";"10.322"
"32019 Carballiño, O";"236.160";"17.324"
"32035 Irixo, O";"18.044";"12.376"
"32045 Maside";"38.379";"13.692"
"32061 Piñor";"19.401";"15.521"
"32065 Punxín";"5.977";"7.864"
"32074 San Amaro";"11.174";"10.365"
"32076 San Cristovo de Cea";"29.577";"13.945"
"32005 Baltar";"15.322";"15.051"
"32012 Blancos, Os";"13.972";"17.776"
"32016 Calvos de Randín";"7.477";"9.008"
"32062 Porqueira";"10.545";"12.875"
"32067 Rairiz de Veiga";"16.526";"13.074"
"32077 Sandiás";"21.330";"17.341"
"32078 Sarreaus";"26.899";"22.585"
"32082 Trasmiras";"15.924";"13.382"
"32089 Vilar de Barrio";"18.428";"13.835"
"32090 Vilar de Santos";"15.573";"19.202"
"32032 Xinzo de Limia";"179.539";"19.098"
"32002 Amoeiro";"29.333";"12.894"
"32008 Barbadás";"115.798";"10.897"
"32026 Coles";"49.590";"16.143"
"32031 Esgos";"16.743";"14.189"
"32052 Nogueira de Ramuín";"92.681";"45.232"
"32054 Ourense";"2.300.095";"22.304"
"32058 Pereiro de Aguiar, O";"164.477";"25.663"
"32059 Peroxa, A";"25.931";"13.485"
"32075 San Cibrao das Viñas";"345.565";"63.175"
"32079 Taboadela";"19.754";"13.213"
"32081 Toén";"27.290";"11.652"
"32087 Vilamarín";"37.491";"19.995"
"32003 Arnoia, A";"10.656";"10.386"
"32004 Avión";"25.408";"16.760"
"32010 Beade";"4.761";"9.939"
"32018 Carballeda de Avia";"14.542";"11.441"
"32022 Castrelo de Miño";"31.842";"24.569"
"32025 Cenlle";"11.889";"10.937"
"32027 Cortegada";"11.000";"10.567"
"32040 Leiro";"19.003";"13.069"
"32046 Melón";"17.232";"14.641"
"32069 Ribadavia";"79.681";"16.857"
"32023 Castro de Caldelas, O";"25.204";"22.645"
"32049 Montederramo";"14.406";"21.000"
"32057 Parada de Sil";"13.727";"21.382"
"32080 Teixeira, A";"4.539";"11.638"
"32014 Bola, A";"9.552";"8.582"
"32020 Cartelle";"21.652";"8.064"
"32024 Celanova";"80.174";"14.363"
"32033 Gomesende";"6.649";"8.291"
"32047 Merca, A";"21.070";"10.572"
"32056 Padrenda";"38.160";"21.130"
"32064 Pontedeva";"5.317";"9.120"
"32066 Quintela de Leirado";"6.086";"8.572"
"32068 Ramirás";"16.598";"9.850"
"32084 Verea";"12.284";"12.321"
"32029 Chandrexa de Queixa";"11.912";"20.362"
"32044 Manzaneda";"50.681";"57.723"
"32063 Pobra de Trives, A";"37.162";"19.195"
"32070 San Xoán de Río";"6.222";"11.111"
"32009 Barco de Valdeorras, O";"222.922";"17.172"
"32015 Bolo, O";"16.307";"18.679"
"32017 Carballeda de Valdeorras";"131.269";"84.201"
"32038 Larouco";"6.107";"12.387"
"32060 Petín";"9.122";"9.904"
"32072 Rúa, A";"83.368";"20.785"
"32073 Rubiá";"38.807";"28.619"
"32083 Veiga, A";"16.942";"18.577"
"32088 Vilamartín de Valdeorras";"38.713";"21.353"
"32021 Castrelo do Val";"9.120";"9.441"
"32028 Cualedro";"21.041";"12.932"
"32039 Laza";"13.102";"10.204"
"32050 Monterrei";"24.251";"9.662"
"32053 Oímbra";"17.003";"9.457"
"32071 Riós, O";"21.573";"14.306"
"32085 Verín";"219.298";"16.220"
"32091 Vilardevós";"16.584";"9.213"
"32034 Gudiña, A";"22.573";"14.269"
"32048 Mezquita, A";"14.655";"10.620"
"32086 Viana do Bolo";"44.737";"14.157"
"32092 Vilariño de Conso";"46.175";"67.904"
"36023 Guarda, A";"152.170";"15.158"
"36036 Oia";"32.474";"10.113"
"36048 Rosal, O";"72.924";"11.093"
"36054 Tomiño";"173.256";"12.095"
"36055 Tui";"296.793";"17.021"
"36005 Caldas de Reis";"189.390";"18.884"
"36010 Catoira";"40.583";"12.276"
"36015 Cuntis";"59.968";"13.162"
"36032 Moraña";"50.708";"11.895"
"36044 Pontecesures";"56.715";"18.880"
"36040 Portas";"32.605";"11.365"
"36056 Valga";"154.560";"26.192"
"36030 Mondariz";"50.759";"11.027"
"36031 Mondariz Balneario";"9.810";"13.203"
"36034 Neves, As";"41.344";"10.964"
"36042 Ponteareas";"325.405";"13.873"
"36050 Salvaterra de Miño";"128.223";"12.085"
"36020 Agolada";"34.856";"13.040"
"36016 Dozón";"24.088";"20.276"
"36024 Lalín";"371.160";"17.587"
"36047 Rodeiro";"82.571";"26.007"
"36052 Silleda";"184.222";"20.388"
"36059 Vila de Cruces";"86.087";"15.892"
"36004 Bueu";"156.345";"13.031"
"36008 Cangas de Morrazo";"360.960";"13.663"
"36026 Marín";"445.468";"18.615"
"36029 Moaña";"262.544";"13.544"
"36001 Arbo";"35.163";"11.128"
"36009 Caniza, A";"91.056";"13.073"
"36013 Covelo";"33.206";"11.080"
"36014 Crecente";"22.852";"10.049"
"36002 Barro";"63.308";"17.060"
"36007 Campo Lameiro, O";"28.002";"15.679"
"36902 Cerdedo Cotobade";"83.239";"13.770"
"36012 Cotobade";"-";"-"
"36025 Lama, A";"55.890";"23.143"
"36041 Poio";"228.362";"13.032"
