"Porcentaxe de poboación estranxeira, por sexo. Galicia, provincias, comarcas e concellos";""
"";""
"Unidade: Porcentaxe";""
"Variables en filas: Tempo, Espazo";""
"Variables en columnas: Sexo";""
"Variables de corte: Indicador=Porcentaxe de poboación estranxeira";""
"";"Total"
"2022";""
"32002 Amoeiro";"3,04"
"32003 Arnoia, A";"1,99"
"32004 Avión";"3,97"
"32005 Baltar";"9,53"
"32006 Bande";"3,63"
"32007 Baños de Molgas";"2,34"
"32008 Barbadás";"4,45"
"32009 Barco de Valdeorras, O";"9,37"
"32010 Beade";"1,89"
"32011 Beariz";"2,04"
"32012 Blancos, Os";"2,17"
"32013 Boborás";"3,15"
"32014 Bola, A";"5,07"
"32015 Bolo, O";"1,57"
"32016 Calvos de Randín";"4,53"
"32018 Carballeda de Avia";"1,97"
"32017 Carballeda de Valdeorras";"14,50"
"32019 Carballiño, O";"6,28"
"32020 Cartelle";"1,74"
"32022 Castrelo de Miño";"2,67"
"32021 Castrelo do Val";"2,27"
"32023 Castro de Caldelas, O";"3,79"
"32024 Celanova";"4,89"
"32025 Cenlle";"5,00"
"32029 Chandrexa de Queixa";"1,81"
"32026 Coles";"2,76"
"32027 Cortegada";"2,73"
"32028 Cualedro";"2,71"
"32030 Entrimo";"10,27"
"32031 Esgos";"1,81"
"32033 Gomesende";"5,15"
"32034 Gudiña, A";"6,93"
"32035 Irixo, O";"1,46"
"32038 Larouco";"2,71"
"32039 Laza";"1,57"
"32040 Leiro";"2,96"
"32041 Lobeira";"4,02"
"32042 Lobios";"7,13"
"32043 Maceda";"3,99"
"32044 Manzaneda";"3,02"
"32045 Maside";"2,48"
"32046 Melón";"1,50"
"32047 Merca, A";"2,88"
"32048 Mezquita, A";"14,34"
"32049 Montederramo";"2,70"
"32050 Monterrei";"2,68"
"32051 Muíños";"3,16"
"32052 Nogueira de Ramuín";"2,75"
"32053 Oímbra";"17,62"
"32054 Ourense";"6,34"
"32055 Paderne de Allariz";"3,09"
"32056 Padrenda";"8,50"
"32057 Parada de Sil";"4,54"
"32058 Pereiro de Aguiar, O";"2,20"
"32059 Peroxa, A";"1,60"
"32060 Petín";"4,42"
"32061 Piñor";"3,83"
"32063 Pobra de Trives, A";"3,71"
"32064 Pontedeva";"3,57"
"32062 Porqueira";"1,90"
"32065 Punxín";"3,91"
"32066 Quintela de Leirado";"6,76"
"32067 Rairiz de Veiga";"0,66"
"32068 Ramirás";"6,01"
"32069 Ribadavia";"3,36"
"32071 Riós, O";"5,38"
"32072 Rúa, A";"5,50"
"32073 Rubiá";"2,40"
"32074 San Amaro";"3,65"
"32075 San Cibrao das Viñas";"4,12"
"32076 San Cristovo de Cea";"2,59"
"32070 San Xoán de Río";"1,78"
"32077 Sandiás";"2,57"
"32078 Sarreaus";"1,26"
"32079 Taboadela";"1,90"
"32080 Teixeira, A";"4,03"
"32081 Toén";"3,50"
"32082 Trasmiras";"2,46"
"32083 Veiga, A";"4,10"
"32084 Verea";"2,76"
"32085 Verín";"11,16"
"32086 Viana do Bolo";"2,95"
"32087 Vilamarín";"2,96"
"32088 Vilamartín de Valdeorras";"6,33"
"32089 Vilar de Barrio";"2,15"
"32090 Vilar de Santos";"1,89"
"32091 Vilardevós";"4,52"
"32092 Vilariño de Conso";"2,38"
"32032 Xinzo de Limia";"4,95"
"32036 Xunqueira de Ambía";"2,74"
"32037 Xunqueira de Espadanedo";"2,49"
"36020 Agolada";"2,38"
"36001 Arbo";"3,25"
"36003 Baiona";"3,15"
"36002 Barro";"1,15"
"36004 Bueu";"1,26"
"36005 Caldas de Reis";"2,97"
"36006 Cambados";"2,79"
