"Unidades locais en Galicia segundo actividade principal (divisións CNAE 2009)";""
"";""
"Unidade: Número de unidades locais";""
"Variables en filas: CNAE 2009, Espazo";""
"32016 Calvos de Randín";"23"
"32062 Porqueira";"21"
"32067 Rairiz de Veiga";"53"
"32077 Sandiás";"58"
"32078 Sarreaus";"40"
"32082 Trasmiras";"70"
"32089 Vilar de Barrio";"62"
"32090 Vilar de Santos";"56"
"32032 Xinzo de Limia";"924"
"32002 Amoeiro";"151"
"32008 Barbadás";"629"
"32026 Coles";"231"
"32031 Esgos";"46"
"32052 Nogueira de Ramuín";"113"
"32054 Ourense";"9.837"
"32058 Pereiro de Aguiar, O";"398"
"32059 Peroxa, A";"72"
"32075 San Cibrao das Viñas";"977"
"32079 Taboadela";"114"
"32081 Toén";"105"
"32087 Vilamarín";"129"
"32003 Arnoia, A";"61"
"32004 Avión";"83"
"32010 Beade";"31"
"32018 Carballeda de Avia";"65"
"32022 Castrelo de Miño";"79"
"32025 Cenlle";"83"
"32027 Cortegada";"81"
"32040 Leiro";"110"
"32046 Melón";"57"
"32069 Ribadavia";"454"
"32023 Castro de Caldelas, O";"104"
"32049 Montederramo";"36"
"32057 Parada de Sil";"46"
"32080 Teixeira, A";"39"
"32014 Bola, A";"36"
"32020 Cartelle";"136"
"32024 Celanova";"516"
"32033 Gomesende";"38"
"32047 Merca, A";"105"
"32056 Padrenda";"90"
"32064 Pontedeva";"38"
"32066 Quintela de Leirado";"20"
"32068 Ramirás";"87"
"32084 Verea";"41"
"32029 Chandrexa de Queixa";"20"
"32044 Manzaneda";"57"
"32063 Pobra de Trives, A";"168"
"32070 San Xoán de Río";"26"
"32009 Barco de Valdeorras, O";"1.081"
"32015 Bolo, O";"40"
"32017 Carballeda de Valdeorras";"126"
"32038 Larouco";"30"
"32060 Petín";"54"
"32072 Rúa, A";"391"
"32073 Rubiá";"73"
"32083 Veiga, A";"75"
"32088 Vilamartín de Valdeorras";"113"
"32021 Castrelo do Val";"31"
"32028 Cualedro";"58"
"32039 Laza";"63"
"32050 Monterrei";"96"
"32053 Oímbra";"76"
"32071 Riós, O";"88"
"32085 Verín";"1.195"
"32091 Vilardevós";"51"
"32034 Gudiña, A";"112"
"32048 Mezquita, A";"61"
"32086 Viana do Bolo";"192"
"32092 Vilariño de Conso";"29"
"36023 Guarda, A";"824"
"36036 Oia";"181"
"36048 Rosal, O";"425"
"36054 Tomiño";"883"
"36055 Tui";"1.411"
"36005 Caldas de Reis";"876"
"36010 Catoira";"185"
"36015 Cuntis";"334"
"36032 Moraña";"286"
"36044 Pontecesures";"239"
"36040 Portas";"162"
"36056 Valga";"292"
"36030 Mondariz";"210"
"36031 Mondariz Balneario";"59"
"36034 Neves, As";"205"
"36042 Ponteareas";"1.825"
"36050 Salvaterra de Miño";"655"
"36020 Agolada";"154"
"36016 Dozón";"52"
"36024 Lalín";"1.900"
"36047 Rodeiro";"149"
"36052 Silleda";"828"
"36059 Vila de Cruces";"391"
"36004 Bueu";"845"
"36008 Cangas de Morrazo";"1.820"
"36026 Marín";"1.431"
"36029 Moaña";"1.190"
"36001 Arbo";"180"
"36009 Caniza, A";"392"
"36013 Covelo";"147"
"36014 Crecente";"87"
"36002 Barro";"392"
"36007 Campo Lameiro, O";"105"
"36902 Cerdedo Cotobade";"269"
"36012 Cotobade";"-"
"36025 Lama, A";"147"
"36041 Poio";"1.048"
"36043 Ponte Caldelas";"420"
"36038 Pontevedra";"7.632"
"36058 Vilaboa";"378"
"36006 Cambados";"1.291"
"36022 Grove, O";"1.022"
"36901 Illa de Arousa, A";"264"
"36027 Meaño";"452"
"36028 Meis";"376"
"36046 Ribadumia";"463"
"36051 Sanxenxo";"2.029"
"36060 Vilagarcía de Arousa";"3.000"
"36061 Vilanova de Arousa";"746"
"36011 Cerdedo";"-"
"36017 Estrada, A";"1.591"
"36018 Forcarei";"235"
"36003 Baiona";"1.018"
"36019 Fornelos de Montes";"81"
"36021 Gondomar";"1.042"
"36033 Mos";"1.384"
"36035 Nigrán";"1.619"
"36037 Pazos de Borbén";"140"
"36039 Porriño, O";"2.245"
"36045 Redondela";"1.898"
"36049 Salceda de Caselas";"637"
"36053 Soutomaior";"487"
"36057 Vigo";"26.079"
"2 Industria, incluida a enerxía [+]";""
"15006 Arzúa";"36"
"15010 Boimorto";"7"
"15066 Pino, O";"25"
"15085 Touro";"22"
"15011 Boiro";"102"
"15067 Pobra do Caramiñal, A";"53"
"15072 Rianxo";"57"
"15073 Ribeira";"98"
"15007 Baña, A";"20"
"15056 Negreira";"35"
"15014 Cabana de Bergantiños";"36"
"15019 Carballo";"198"
"15029 Coristanco";"37"
"15041 Laracha, A";"63"
"15040 Laxe";"21"
"15043 Malpica de Bergantiños";"67"
"15068 Ponteceso";"50"
"15003 Aranga";"14"
"15009 Betanzos";"62"
"15026 Cesuras";"-"
"15027 Coirós";"19"
"15032 Curtis";"50"
"15039 Irixoa";"4"
"15048 Miño";"20"
"15063 Oza dos Ríos";"-"
"15902 Oza Cesuras";"22"
"15064 Paderne";"15"
"15091 Vilarmaior";"10"
"15090 Vilasantar";"7"
"15001 Abegondo";"34"
"15005 Arteixo";"215"
"15008 Bergondo";"129"
"15017 Cambre";"148"
"15021 Carral";"73"
"15030 Coruña, A";"710"
"15031 Culleredo";"167"
"15058 Oleiros";"104"
"15075 Sada";"61"
"15015 Cabanas";"19"
"15018 Capela, A";"9"
"15050 Monfero";"11"
"15069 Pontedeume";"26"
"15070 Pontes de García Rodríguez, As";"68"
"15004 Ares";"12"
"15022 Cedeira";"32"
"15035 Fene";"44"
"15036 Ferrol";"116"
"15049 Moeche";"11"
"15051 Mugardos";"12"
"15054 Narón";"187"
"15055 Neda";"29"
"15076 San Sadurniño";"11"
"15081 Somozas, As";"16"
"15087 Valdoviño";"22"
"15023 Cee";"42"
"15028 Corcubión";"3"
"15034 Dumbría";"23"
"15037 Fisterra";"10"
"15052 Muxía";"30"
"15020 Carnota";"19"
"15053 Muros";"30"
"15042 Lousame";"14"
"15057 Noia";"57"
"15062 Outes";"43"
"15071 Porto do Son, O";"47"
"15024 Cerceda";"56"
"15038 Frades";"17"
"15047 Mesía";"26"
