SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local non territorial;ELM;Entidade local menor;2000/005;ENTIDADE LOCAL MENOR CHENLO;AS CALES-CHENLO;AS CALES;36400;36;PONTEVEDRA;;;10/11/2000;10,00;
Entidade local non territorial;ELM;Entidade local menor;2000/006;ENTIDADE LOCAL MENOR DE QUEIMADELOS;QUEIMADELOS;QUEIMADELOS;36870;36;PONTEVEDRA;;;10/11/2000;2,12;
Entidade local non territorial;ELM;Entidade local menor;2000/007;ENTIDADE LOCAL MENOR VILASOBROSO;VILASOBROSO;VILASOBROSO-MONDARIZ;36870;36;PONTEVEDRA;;;13/11/2000;5,17;
Entidade local non territorial;ELM;Entidade local menor;2000/008;ENTIDADE LOCAL MENOR DE PAZOS DE REIS;EDIFICIO ADMINISTRATIVO A MACOCA;A MACOCA- PAZOS DE REIS;36715;36;PONTEVEDRA;36055;TUI;19/12/2000;0,00;
Entidade local non territorial;ELM;Entidade local menor;2001/001;ENTIDADE LOCAL MENOR DE BERÁN;C/GABINO BUGALLAL,39;NON CONSTA;32420;32;OURENSE;32040;LEIRO;01/02/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/001;MANCOMUNIDADE MUNICIPIOS DA COMARCA DE ORDES;RUA XENERAL MOLA (EDIF. COMARCAL XUNTA);ORDES;15680;15;A CORUÑA;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/002;MANCOMUNIDADE DE CONCELLOS SANTA AGUEDA;A PENA-READEGOS;VILAMARIN;32100;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/003;MANCOMUNIDADE DE CONCELLOS  SERRA DO BARBANZA;CASA DO CONCELLO-CARBALLEIRA DE SANTA MINIA;BRION-ROTATIVA;15865;15;A CORUÑA;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/004;MANCOMUNIDADE INTERMUNICIPAL VOLUNTARIA DO RIBEIRO;FONDAL DE BEADE, S/N;BEADE;32431;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/005;MANCOMUNIDAD VOLUNTARIOS DA COMARCA DE OURENSE;C/ JOSÉ ANTONIO, S/N;MACEDA;32700;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/006;MANCOMUNIDADE VOLUNTARIA DAS TERRAS DO NAVEA-BIBEI;PASEO DE SAN ROQUE, 4, 1º;POBRA DE TRIVES;32780;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/007;MANCOMUNIDADE DO SALNÉS;CENTRO COMARCAL EXPOSALNES (PASEO DA CALZADA S/N);CAMBADOS;36630;36;PONTEVEDRA;;;27/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/009;MANCOMUN. INTERMU. VOLUNTARIA DA BAIXA LIMIA;C/ CALVO SOTELO, 2;NON CONSTA;32840;32;OURENSE;;;14/07/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/010;MANCOMUNIDADE VOLUNTARIA DE MUNICIPIOS DE AROUSA;AVDA.DA MARIÑA,122;VILAGARCÍA DE AROUSA;36600;36;PONTEVEDRA;;;24/10/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/011;MANCOMDADE.PARA SERV.VERTED.RES.SÓL.URB.PONTE.S.XE;PRAZA DE ESPAÑA, S/N;PONTEVEDRA;36001;36;PONTEVEDRA;;;27/10/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/012;MANCOMUNIDADE DE MUNICIPIOS ?TERRA DE CELANOVA?;BARRIO DA HERMIDA,39 BAIXO;CELANOVA;32800;32;OURENSE;;;02/11/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/013;MANCOMUNIDADE DE CONCELL.DA ÁREA DE SANTIAGO;PRAZA DO OBRADOIRO;SANTIAGO DE COMPOSTELA;15700;15;A CORUÑA;;;11/03/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/014;MAMCOMUNIDADE DO PARADANTA;C/ ORIENTE, 11;A CAÑIZA;36880;36;PONTEVEDRA;;;11/03/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/015;MANCOMUNIDADE CONCELLOS DO MORRAZO;C/ REAL, S/N;CANGAS(ROTATIVA, CADA DOUS ANOS) 2001 E 2002 MARÍN;36940;36;PONTEVEDRA;;;03/11/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/016;MANCOMUNIDADE DA ÁREA INTERMUNICIPAL DE VIGO;PRAZA DO REI S/N;VIGO;36200;36;PONTEVEDRA;;;06/11/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/017;MANCOMUNIDADE DE MUNICIPIOS DE VERÍN;PRAZA DO CONCELLO,1;VERÍN;32600;32;OURENSE;;;06/11/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/018;MANCOMUNIDADE DE CONCELLOS   DA ÁREA DO DA  CORUÑA;PRAZA DE MARÍA PITA;A CORUÑA;15001;15;A CORUÑA;;;10/11/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/019;MANCOMUNIDADE VAL MIÑOR;C/LORENZO DE LA CARRERA,17;BAIONA;36300;36;PONTEVEDRA;;;13/12/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/020;MANCOMUDADE.INTERMU. DOS VALES DO ULLA E UMIA;A RAPOEIRA, S/N;PORTAS-ROTATIVA;36658;36;PONTEVEDRA;;;18/12/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/001;MANCOMUNIDADE INTERMUNICIPAL BAIXO MIÑO;PRAZA DO RELÓ, 1;ROTATIVA;36780;36;PONTEVEDRA;;;02/01/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/003;MANCOMUNIDADE ALLARIZ-TABOADELA;PRAZA MAIOR, 1;ALLARIZ;32660;32;OURENSE;;;01/02/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/004;MANCOMUNIDADE INTERMUNICIPAL  ?RIBEIRA SACRA?;PRAZA DO CONCELLO, 28;ROTATIVA;32750;32;OURENSE;;;01/02/2001;0,00;
