SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local territorial;MU;Municipio;2000/055;NEDA;AVDA. DE ALXECIRAS, 34;NEDA;15510;15;A CORUÑA;15055;NEDA;25/05/2000;23,79;
Entidade local territorial;MU;Municipio;2000/056;VILARMAIOR;ARMADA, Nº 1;ARMADA-VILARMAIOR;15637;15;A CORUÑA;15091;VILARMAIOR;25/05/2000;30,35;
Entidade local territorial;MU;Municipio;2000/057;VILASANTAR;RU,S/N;RU;15807;15;A CORUÑA;15090;VILASANTAR;25/05/2000;59,22;
Entidade local territorial;MU;Municipio;2000/058;BOQUEIXÓN;FORTE;FORTE;15881;15;A CORUÑA;15012;BOQUEIXÓN;26/05/2000;73,18;
Entidade local territorial;MU;Municipio;2000/059;TRASMIRAS;RUA OTERO PEDRAIO, S/N;TRASMIRAS;32695;32;OURENSE;32082;TRASMIRAS;26/05/2000;56,74;
Entidade local territorial;MU;Municipio;2000/060;VIANA DO BOLO;RÚA DA CONSTITUCIÓN, Nº 14;VIANA DO BOLO;32550;32;OURENSE;32086;VIANA DO BOLO;26/05/2000;270,41;
Entidade local territorial;MU;Municipio;2000/061;OUTES;RUA XENERAL FRANCO, 1;SERRA DE OUTES;15230;15;A CORUÑA;15062;OUTES;26/05/2000;99,73;
Entidade local territorial;MU;Municipio;2000/062;VILA DE CRUCES;PZA. D. JUAN CARLOS I;VILA DE CRUCES;36590;36;PONTEVEDRA;36059;VILA DE CRUCES;26/05/2000;154,96;
Entidade local territorial;MU;Municipio;2000/063;VERÍN;PRAZA DO CONCELLO, 1;VERÍN;32600;32;OURENSE;32085;VERÍN;26/05/2000;94,06;
Entidade local territorial;MU;Municipio;2000/064;RUBIÁ;CAMPO, 8;RUBIÁ;32310;32;OURENSE;32073;RUBIÁ;26/05/2000;100,66;
Entidade local territorial;MU;Municipio;2000/065;IRIXOA;PAZO DE IRIXOA, 6;PAZO DE IRIXOA, O;15313;15;A CORUÑA;15039;IRIXOA;26/05/2000;68,30;
Entidade local territorial;MU;Municipio;2000/066;PEDRAFITA DO CEBREIRO;PRAZA DE ESPAÑA, 2;PEDRAFITA DO CEBREIRO;27670;27;LUGO;27045;PEDRAFITA DO CEBREIRO;26/05/2000;104,90;
Entidade local territorial;MU;Municipio;2000/067;A ILLA DE AROUSA;RÚA NAVAL, 14;AROUSA;36626;36;PONTEVEDRA;36901;A ILLA DE AROUSA;06/07/2000;6,90;
Entidade local territorial;MU;Municipio;2000/068;ARNOIA, A;OUTEIRO CRUZ,12;OUTEIRO CRUZ;32234;32;OURENSE;32003;ARNOIA, A;06/07/2000;20,79;
Entidade local territorial;MU;Municipio;2000/069;OROSO;PRAZA DO CONCELLO, 1  SIGÜEIRO;SIGÜEIRO;15884;15;A CORUÑA;15060;OROSO;06/07/2000;72,19;
Entidade local territorial;MU;Municipio;2000/070;SOMOZAS, AS;LUG. IGREXA 1;A IGREXA;15565;15;A CORUÑA;15081;SOMOZAS, AS;16/06/2000;71,40;
Entidade local territorial;MU;Municipio;2000/071;BEADE;RUA CAUDILLO, S/N;BEADE;32431;32;OURENSE;32010;BEADE;19/06/2000;7,00;
Entidade local territorial;MU;Municipio;2000/072;BOIMORTO;VILANOVA, Nº 1;BOIMORTO;15818;15;A CORUÑA;15010;BOIMORTO;19/06/2000;82,59;
Entidade local territorial;MU;Municipio;2000/073;PEROXA, A;PRAZA DO CONCELLO, 83;A PEROXA;32150;32;OURENSE;32059;PEROXA, A;19/06/2000;52,00;
Entidade local territorial;MU;Municipio;2000/074;VIGO;PRAZA DO REI S/N;VIGO;36202;36;PONTEVEDRA;36057;VIGO;19/06/2000;109,40;
Entidade local territorial;MU;Municipio;2000/075;NEVES, AS;PRAZA DA CRISTIANDAD S/N;AS NEVES;36440;36;PONTEVEDRA;36034;NEVES, AS;19/06/2000;65,30;
Entidade local territorial;MU;Municipio;2000/076;VEREA;CTRA.CELANOVA-BANDE;CARBALLO;32813;32;OURENSE;32084;VEREA;19/06/2000;94,19;
Entidade local territorial;MU;Municipio;2000/077;XUNQUEIRA DE ESPADANEDO;PRAZA DOS AMIGOS, S/N;XUNQUEIRA DE ESPADANEDO;32730;32;OURENSE;32037;XUNQUEIRA DE ESPADANEDO;19/06/2000;28,00;
Entidade local territorial;MU;Municipio;2000/078;BAÑOS DE MOLGAS;RÚA SAMUEL GONZÁLEZ Nº 2;BAÑOS DE MOLGAS;32701;32;OURENSE;32007;BAÑOS DE MOLGAS;19/06/2000;68,00;
Entidade local territorial;MU;Municipio;2000/079;RIBADEO;PRAZA DE ESPAÑA, 1;RIBADEO;27700;27;LUGO;27051;RIBADEO;19/06/2000;108,90;
Entidade local territorial;MU;Municipio;2000/080;BERGONDO;CTRA. CORUÑA Nº 12;CARRÍO;15165;15;A CORUÑA;15008;BERGONDO;19/06/2000;32,20;
Entidade local territorial;MU;Municipio;2000/081;VILANOVA DE AROUSA;GONZALEZ BESADA, S/N;VILANOVA DE AROUSA;36620;36;PONTEVEDRA;36061;VILANOVA DE AROUSA;19/06/2000;33,00;
Entidade local territorial;MU;Municipio;2000/082;CASTRELO DE MIÑO;C / ALEJANDRO FERRER,14;BARRAL;32232;32;OURENSE;32022;CASTRELO DE MIÑO;13/12/2000;39,74;
Entidade local territorial;MU;Municipio;2000/083;TEO;RAMALLOSA, S/N;RAMALLOSA;15886;15;A CORUÑA;15082;TEO;19/06/2000;79,80;
Entidade local territorial;MU;Municipio;2000/084;SAN XOÁN DE RÍO;PRAZA DA CONSTITUCION, 1;O CAMPO;32770;32;OURENSE;32070;SAN XOÁN DE RÍO;19/06/2000;61,59;
Entidade local territorial;MU;Municipio;2000/085;FRADES;CIMADEVILLA S/N;CIMADEVILA;15686;15;A CORUÑA;15038;FRADES;19/06/2000;79,19;
Entidade local territorial;MU;Municipio;2000/086;CAMBADOS;PRAZA DO CONCELLO, 1;CAMBADOS;36630;36;PONTEVEDRA;36006;CAMBADOS;19/06/2000;24,20;
Entidade local territorial;MU;Municipio;2000/087;PADERNE;CONSISTORIO 10;CONSISTORIO (PADERNE);15314;15;A CORUÑA;15064;PADERNE;19/06/2000;39,79;
Entidade local territorial;MU;Municipio;2000/088;ENTRIMO;PRAZA DO CONCELLO, 1;A TERRACHÁ;32860;32;OURENSE;32030;ENTRIMO;19/06/2000;84,51;
Entidade local territorial;MU;Municipio;2000/089;NOIA;RUA ALAMEDA, S/N;NOIA;15200;15;A CORUÑA;15057;NOIA;19/06/2000;37,20;
Entidade local territorial;MU;Municipio;2000/090;POBRA DE TRIVES, A;Pº SAN ROQUE, S/N;POBRA DE TRIVES;32780;32;OURENSE;32063;POBRA DE TRIVES, A;19/06/2000;84,19;
Entidade local territorial;MU;Municipio;2000/091;MURAS;PRAZA DO CONCELLO;MURAS;27836;27;LUGO;27033;MURAS;15/09/2000;163,82;
Entidade local territorial;MU;Municipio;2000/092;RIBADAVIA;PRAZA MAIOR, 7;RIBADAVIA;32400;32;OURENSE;32069;RIBADAVIA;18/10/2000;20,00;
Entidade local territorial;MU;Municipio;2000/093;BRIÓN;PEDROUZOS;PEDROUZOS;15865;15;A CORUÑA;15013;BRIÓN;18/10/2000;73,80;
Entidade local territorial;MU;Municipio;2000/094;VEIGA, A;PRAZA DO CONCELLO, 1;A VEIGA;32360;32;OURENSE;32083;VEIGA, A;19/10/2000;291,00;
Entidade local territorial;MU;Municipio;2000/095;BALEIRA;AVDA. DE MEIRA, S/N  CADAVO - BALEIRA;O CÁDAVO;27130;27;LUGO;27004;BALEIRA;19/10/2000;168,82;
Entidade local territorial;MU;Municipio;2000/096;SAVIÑAO, O;PLAZA DE ESPAÑA, 1;ESCAIRÓN;27540;27;LUGO;27058;SAVIÑAO, O;20/10/2000;208,00;
Entidade local territorial;MU;Municipio;2000/097;OUTEIRO DE REI;PRAZA DO CONCELLO,1;OUTEIRO DE REI;27150;27;LUGO;27039;OUTEIRO DE REI;20/10/2000;133,00;
Entidade local territorial;MU;Municipio;2000/098;VILALBA;PZA. DA CONSTITUCION, 1;VILALBA;27800;27;LUGO;27065;VILALBA;20/10/2000;384,00;
Entidade local territorial;MU;Municipio;2000/099;QUINTELA DE LEIRADO;PLAZA SAN PEDRO, S/N;LEIRADO;32814;32;OURENSE;32066;QUINTELA DE LEIRADO;20/10/2000;31,60;
Entidade local territorial;MU;Municipio;2000/100;MIÑO;AVDA. XENERALISIMO 98;MIÑO;15630;15;A CORUÑA;15048;MIÑO;20/10/2000;33,29;
Entidade local territorial;MU;Municipio;2000/101;CAÑIZA, A;R/ ORIENTE, 11;A CAÑIZA;36880;36;PONTEVEDRA;36009;CAÑIZA, A;20/10/2000;108,00;
Entidade local territorial;MU;Municipio;2000/102;SOBER;PRAZA DO CONCELLO, 1;SOBER;27460;27;LUGO;27059;SOBER;20/10/2000;134,00;
Entidade local territorial;MU;Municipio;2000/103;VILAGARCÍA DE AROUSA;PRAZA RAVELLA, 1;VILAGARCÍA;36600;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;20/10/2000;47,09;
Entidade local territorial;MU;Municipio;2000/104;MONDOÑEDO;PRAZA DO CONCELLO, 1;MONDOÑEDO;27740;27;LUGO;27030;MONDOÑEDO;23/10/2000;144,00;
Entidade local territorial;MU;Municipio;2000/105;ROSAL, O;PRAZA DO CALVARIO, 1;O CALVARIO;36770;36;PONTEVEDRA;36048;ROSAL, O;24/10/2000;41,20;
Entidade local territorial;MU;Municipio;2000/106;BURELA;RUA PARDO BAZAN, S/N;BURELA;27880;27;LUGO;27902;BURELA;24/10/2000;7,78;
Entidade local territorial;MU;Municipio;2000/107;NAVIA DE SUARNA;PRAZA DE ESPAÑA, 1;A PROBA;27650;27;LUGO;27034;NAVIA DE SUARNA;24/10/2000;243,00;
Entidade local territorial;MU;Municipio;2000/108;VEDRA;AVDA. MESTRE MANUEL GOMEZ, Nº 1;VEDRA (SANTA BAIA);15885;15;A CORUÑA;15089;VEDRA;25/10/2000;52,50;
Entidade local territorial;MU;Municipio;2000/109;POBRA DO BROLLÓN, A;AVDA. JOSE ANTONIO, 50;A POBRA DO BROLLÓN;27330;27;LUGO;27047;POBRA DO BROLLÓN, A;25/10/2000;175,00;
Entidade local territorial;MU;Municipio;2000/110;CABANAS;RUA DO CONCELLO, S/N;CABANAS;15621;15;A CORUÑA;15015;CABANAS;25/10/2000;30,20;
Entidade local territorial;MU;Municipio;2000/111;BUEU;RUA EDUARDO VICENTI, 10;BUEU;36930;36;PONTEVEDRA;36004;BUEU;25/10/2000;30,00;
Entidade local territorial;MU;Municipio;2000/113;OUROL;C/O MESÓN;OUROL;27865;27;LUGO;27038;OUROL;25/10/2000;145,39;
Entidade local territorial;MU;Municipio;2000/114;CARTELLE;TOXAL, 1, OUTOMURO;OUTOMURO;32824;32;OURENSE;32020;CARTELLE;25/10/2000;94,00;
Entidade local territorial;MU;Municipio;2000/115;RÚA, A;VELAZQUEZ, 2;A RÚA;32350;32;OURENSE;32072;RÚA, A;26/10/2000;35,00;
Entidade local territorial;MU;Municipio;2000/116;CARBALLO;PRAZA DO CONCELLO S/N;CARBALLO;15106;15;A CORUÑA;15019;CARBALLO;26/10/2000;187,19;
Entidade local territorial;MU;Municipio;2000/118;TRAZO;VIAÑO PEQUENO;VIAÑO PEQUENO;15687;15;A CORUÑA;15086;TRAZO;27/10/2000;100,50;
Entidade local territorial;MU;Municipio;2000/119;CALDAS DE REIS;FERRERÍA 1;CALDAS DE REIS;36650;36;PONTEVEDRA;36005;CALDAS DE REIS;30/10/2000;68,19;
Entidade local territorial;MU;Municipio;2000/120;MONTERROSO;PRAZA DE GALICIA, S/N;MONTERROSO;27560;27;LUGO;27032;MONTERROSO;30/10/2000;118,00;
Entidade local territorial;MU;Municipio;2000/121;VALGA;AVDA. DA  CORUÑA,14;PONTE-VALGA;36000;36;PONTEVEDRA;36056;VALGA;30/10/2000;42,00;
Entidade local territorial;MU;Municipio;2000/122;CORISTANCO;SAN ROQUE-TRABA;SAN ROQUE;15147;15;A CORUÑA;15029;CORISTANCO;31/10/2000;140,50;
Entidade local territorial;MU;Municipio;2000/123;OLEIROS;PRAZA DE GALICIA Nº 1;SANTA MARÍA DE OLEIROS;15173;15;A CORUÑA;15058;OLEIROS;31/10/2000;43,70;
Entidade local territorial;MU;Municipio;2000/124;VIMIANZO;PRAZA DO CONCELLO 6;VIMIANZO;15129;15;A CORUÑA;15092;VIMIANZO;31/10/2000;187,39;
Entidade local territorial;MU;Municipio;2000/125;VILAR DE SANTOS;RUA CELANOVA ,77;VILAR DE SANTOS;32650;32;OURENSE;32090;VILAR DE SANTOS;31/10/2000;20,00;
Entidade local territorial;MU;Municipio;2000/126;BAÑA, A;PRAZA DO CONCELLO, S/N;SAN VICENTE;15863;15;A CORUÑA;15007;BAÑA, A;11/02/2000;98,19;
Entidade local territorial;MU;Municipio;2000/127;GONDOMAR;PRAZA DR. LATINO SALGUEIRO, 1;GONDOMAR;36380;36;PONTEVEDRA;36021;GONDOMAR;11/02/2000;74,00;
Entidade local territorial;MU;Municipio;2000/128;BANDE;SAN ROQUE 2;BANDE;32840;32;OURENSE;32006;BANDE;11/02/2000;99,00;
Entidade local territorial;MU;Municipio;2000/130;PEREIRO DE AGUIAR;PRAZA DO CONCELLO;PEREIRO DE AGUIAR;32710;32;OURENSE;32058;PEREIRO DE AGUIAR, O;11/02/2000;61,18;
Entidade local territorial;MU;Municipio;2000/131;RIBADUMIA;AVDA. DE RIBADUMIA, 3;ESCUSA;36636;36;PONTEVEDRA;36046;RIBADUMIA;11/02/2000;19,50;
Entidade local territorial;MU;Municipio;2000/132;SANTIAGO DE COMPOSTELA;PRAZA DO OBRADOIRO, S/N;SANTIAGO DE COMPOSTELA;15705;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;02/11/2000;220,55;
Entidade local territorial;MU;Municipio;2000/133;ARANGA;PRAZA MAESTRO MOSQUERA Nº 1;PUENTE-ARANGA;15317;15;A CORUÑA;15003;ARANGA;11/03/2000;121,19;
Entidade local territorial;MU;Municipio;2000/134;PADRÓN;R/ GENERAL FRANCO, 27;PADRÓN;15900;15;A CORUÑA;15065;PADRÓN;11/03/2000;48,40;
Entidade local territorial;MU;Municipio;2000/135;BAIONA;RUA LORENZO DE LA CARRERA, 17 - 19;BAIONA;36300;36;PONTEVEDRA;36003;BAIONA;11/03/2000;34,29;
Entidade local territorial;MU;Municipio;2000/136;TOÉN;RIBADELA, 1;TOÉN;32930;32;OURENSE;32081;TOÉN;11/06/2000;58,79;
Entidade local territorial;MU;Municipio;2000/137;NOGUEIRA DE RAMUÍN;LUINTRA;LLUINTRA;32160;32;OURENSE;32052;NOGUEIRA DE RAMUÍN;11/09/2000;100,00;
Entidade local territorial;MU;Municipio;2000/138;AMES;PRAZA DO CONCELLO, 2;BERTAMIRÁNS;15220;15;A CORUÑA;15002;AMES;11/09/2000;80,91;
Entidade local territorial;MU;Municipio;2000/139;VILABOA;TOURAL, 1;TOURAL-VILABOA;36141;36;PONTEVEDRA;36058;VILABOA;11/09/2000;38,00;
Entidade local territorial;MU;Municipio;2000/140;ARBO;PRAZA CONSISTORIO, 1;ARBO;36430;36;PONTEVEDRA;36001;ARBO;11/09/2000;43,33;
Entidade local territorial;MU;Municipio;2000/141;ARTEIXO;PRAZA ALCALDE RAMON DOPICO, 1;ARTEIXO;15142;15;A CORUÑA;15005;ARTEIXO;11/10/2000;93,50;
Entidade local territorial;MU;Municipio;2000/142;COVELO;PRAZA DO MESTRE CERVIÑO,2;SANTIAGO DE COVELO;36001;36;PONTEVEDRA;36013;COVELO;11/10/2000;124,00;
Entidade local territorial;MU;Municipio;2000/143;IRIXO, O;A PONTE Nº 10;A PONTE - O IRIXO;32530;32;OURENSE;32035;IRIXO, O;11/10/2000;140,00;
Entidade local territorial;MU;Municipio;2000/144;CRECENTE;RUA SOLIS RUIZ, 5;CRECENTE;36420;36;PONTEVEDRA;36014;CRECENTE;11/10/2000;57,00;
Entidade local territorial;MU;Municipio;2000/145;SAN AMARO;CTRA. PRINCIPAL, 20;SAN AMARO;32455;32;OURENSE;32074;SAN AMARO;11/10/2000;29,00;
Entidade local territorial;MU;Municipio;2000/146;CORGO, O;ESTRADA NACIONAL VI, S/N;CORGO;27163;27;LUGO;27014;CORGO, O;13/11/2000;157,33;
Entidade local territorial;MU;Municipio;2000/147;CERVANTES;RÚA DEPUTACIÓN, S/N;SAN ROMÁN;27664;27;LUGO;27012;CERVANTES;13/11/2000;273,00;
Entidade local territorial;MU;Municipio;2000/148;SADA;AVDA GENERALISIMO 25;SADA;15160;15;A CORUÑA;15075;SADA;13/11/2000;27,26;
Entidade local territorial;MU;Municipio;2000/149;CANGAS;AVDA. DANIEL CASTELAO, 2;CANGAS;36940;36;PONTEVEDRA;36008;CANGAS;13/11/2000;38,09;
Entidade local territorial;MU;Municipio;2000/150;DUMBRÍA;ESTRADA DE DUMBRIA, S/N;DUMBRÍA;15151;15;A CORUÑA;15034;DUMBRÍA;13/11/2000;124,69;
Entidade local territorial;MU;Municipio;2000/151;CASTRELO DO VAL;RUA DO TOURAL 15;CASTRELO DO VAL;32625;32;OURENSE;32021;CASTRELO DO VAL;13/11/2000;122,37;
Entidade local territorial;MU;Municipio;2000/152;MEZQUITA, A;AVD DA CONSTITUCIÓN 7;A MEZQUITA;32549;32;OURENSE;32048;MEZQUITA, A;13/11/2000;104,25;
Entidade local territorial;MU;Municipio;2000/153;CONCELLO DE LUGO;PRAZA DE ESPAÑA, 1;LUGO;27001;27;LUGO;27028;LUGO;13/11/2000;332,00;
Entidade local territorial;MU;Municipio;2000/154;ZAS;PZA. DO CAMPO, 1;ZAS;15850;15;A CORUÑA;15093;ZAS;14/11/2000;132,03;
Entidade local territorial;MU;Municipio;2000/155;PONTECESURES;AVDA. DE VIGO, 2;INFESTA;36640;36;PONTEVEDRA;36044;PONTECESURES;14/11/2000;6,69;
Entidade local territorial;MU;Municipio;2000/156;SALVATERRA DE MIÑO;PRAZA DO CASTELO, 1;O CASTELO;36450;36;PONTEVEDRA;36050;SALVATERRA DE MIÑO;14/11/2000;61,70;
Entidade local territorial;MU;Municipio;2000/157;CORCUBION;PRAZA JOSE CARRERA;CORCUBIÓN;15130;15;A CORUÑA;15028;CORCUBIÓN;16/11/2000;7,59;
Entidade local territorial;MU;Municipio;2000/158;ABEGONDO;SAN MARCO, S/N;SAN MARCO (ABEGONDO);15318;15;A CORUÑA;15001;ABEGONDO;20/11/2000;83,80;
Entidade local territorial;MU;Municipio;2000/159;ARZÚA;C/SANTIAGO, 2;ARZÚA;15810;15;A CORUÑA;15006;ARZÚA;20/11/2000;155,47;
Entidade local territorial;MU;Municipio;2000/160;BETANZOS;PZA. CONSTITUCION, 1;BETANZOS;15300;15;A CORUÑA;15009;BETANZOS;20/11/2000;24,19;
Entidade local territorial;MU;Municipio;2000/161;CABANA DE BERGANTIÑOS;A CARBALLA, S/N - CESULLAS;A CARBALLA- CESULLAS;15115;15;A CORUÑA;15014;CABANA DE BERGANTIÑOS;20/11/2000;100,23;
Entidade local territorial;MU;Municipio;2000/162;CAMBRE;RUA ATRIO, 1;CAMBRE;15660;15;A CORUÑA;15017;CAMBRE;20/11/2000;40,74;
Entidade local territorial;MU;Municipio;2000/163;CARIÑO;PORTA DA PULIDA, S/N;CARIÑO;15360;15;A CORUÑA;15901;CARIÑO;20/11/2000;47,18;
Entidade local territorial;MU;Municipio;2000/164;CARNOTA;PRAZA SAN GREGORIO, 19;CARNOTA;15293;15;A CORUÑA;15020;CARNOTA;20/11/2000;70,90;
Entidade local territorial;MU;Municipio;2000/165;CARRAL;RUA DE PALEO, 17;CARRAL;15175;15;A CORUÑA;15021;CARRAL;20/11/2000;48,02;
Entidade local territorial;MU;Municipio;2000/166;CEDEIRA;RUA REAL, 15;CEDEIRA;15350;15;A CORUÑA;15022;CEDEIRA;20/11/2000;46,20;
Entidade local territorial;MU;Municipio;2000/167;CEE;PRAZA DO MERCADO,S/N.;PRAZA DO MERCADO,S/N.;15270;15;A CORUÑA;15023;CEE;20/11/2000;57,45;
Entidade local territorial;MU;Municipio;2000/168;CERCEDA;AVDA. DO MESON, 21;CAMPO DA FEIRA-CERCEDA;15185;15;A CORUÑA;15024;CERCEDA;20/11/2000;111,26;
Entidade local territorial;MU;Municipio;2000/170;CORUÑA, A;PRAZA DE MARIA PITA, 1;A CORUÑA;15001;15;A CORUÑA;15030;CORUÑA, A;20/11/2000;37,63;
Entidade local territorial;MU;Municipio;2000/171;CURTIS;PRAZA DE ESPAÑA, 1;TEIJEIRO;15310;15;A CORUÑA;15032;CURTIS;20/11/2000;116,56;
Entidade local territorial;MU;Municipio;2000/172;FENE;AVDA. DO CONCELLO, S/N;FENE;15500;15;A CORUÑA;15035;FENE;21/11/2000;26,29;
Entidade local territorial;MU;Municipio;2000/173;FERROL;PRAZA DE ARMAS, S/N;FERROL;15402;15;A CORUÑA;15036;FERROL;21/11/2000;82,54;
Entidade local territorial;MU;Municipio;2000/174;FISTERRA;RÚA SANTA CATALINA, 1;FISTERRA;15155;15;A CORUÑA;15037;FISTERRA;21/11/2000;29,43;
Entidade local territorial;MU;Municipio;2000/175;MALPICA DE BERGANTIÑOS;EMILIO GONZALEZ LOPEZ, 1;MALPICA;15113;15;A CORUÑA;15043;MALPICA DE BERGANTIÑOS;21/11/2000;61,22;
Entidade local territorial;MU;Municipio;2000/176;MAZARICOS;A PICOTA;A PICOTA;15256;15;A CORUÑA;15045;MAZARICOS;21/11/2000;187,30;
Entidade local territorial;MU;Municipio;2000/177;MELIDE;PRAZA DO CONVENTO;MELIDE;15800;15;A CORUÑA;15046;MELIDE;21/11/2000;101,30;
Entidade local territorial;MU;Municipio;2000/178;MESÍA;A POBRA;A POBRA;15685;15;A CORUÑA;15047;MESÍA;21/11/2000;107,06;
Entidade local territorial;MU;Municipio;2000/179;BOIRO;CALVO SOTELO, 45;BOIRO;15930;15;A CORUÑA;15011;BOIRO;21/11/2000;86,58;
Entidade local territorial;MU;Municipio;2000/180;MOECHE;CAMPOS DO FOXO, S/N  -SAN XURXO-;SAN RAMON (SAN XOAN DE MOECHE);15563;15;A CORUÑA;15049;MOECHE;21/11/2000;48,50;
Entidade local territorial;MU;Municipio;2000/181;MONFERO;REBORDELO, 1;REBORDELO-SAN FIZ DE MONFERO;15619;15;A CORUÑA;15050;MONFERO;21/11/2000;171,66;
Entidade local territorial;MU;Municipio;2000/182;MUROS;CURRO DA PRAZA, 1;MUROS;15250;15;A CORUÑA;15053;MUROS;22/11/2000;72,91;
Entidade local territorial;MU;Municipio;2000/183;MUXÍA;R/ REAL, 35;MUXÍA;15124;15;A CORUÑA;15052;MUXÍA;22/11/2000;121,19;
Entidade local territorial;MU;Municipio;2000/184;NARON;PRAZA DO CONCELLO;NARON;15570;15;A CORUÑA;15054;NARÓN;22/11/2000;67,01;
Entidade local territorial;MU;Municipio;2000/185;NEGREIRA;RÚA DO CARMEN, 3;NEGREIRA;15830;15;A CORUÑA;15056;NEGREIRA;22/11/2000;115,09;
Entidade local territorial;MU;Municipio;2000/186;ORDES;ALFONSO SENRA 108;ORDES;15680;15;A CORUÑA;15059;ORDES;22/11/2000;157,22;
Entidade local territorial;MU;Municipio;2000/187;PINO, O;O PEDROUZO;PEDROUZO-ARCA;15821;15;A CORUÑA;15066;PINO, O;22/11/2000;132,14;
Entidade local territorial;MU;Municipio;2000/188;PONTEDEUME;PZA REAL, 17;PONTEDEUME;15600;15;A CORUÑA;15069;PONTEDEUME;22/11/2000;29,26;
Entidade local territorial;MU;Municipio;2000/189;RIANXO;PRAZA DE CASTELAO, 1;RIANXO;15920;15;A CORUÑA;15072;RIANXO;22/11/2000;58,79;
Entidade local territorial;MU;Municipio;2000/190;ROIS;RUA SAMIL, 1;OS DICES- ROIS;15911;15;A CORUÑA;15074;ROIS;22/11/2000;92,76;
Entidade local territorial;MU;Municipio;2000/191;SANTA COMBA;PRAZA DO CONCELLO, 1;SANTA CATALIÑA DE ARMADA-SANTA COMBA;15840;15;A CORUÑA;15077;SANTA COMBA;22/11/2000;203,69;
Entidade local territorial;MU;Municipio;2000/192;SAN SADURNIÑO;AVDA. MARQUÉS DE FIGUEROA;SAN SADURNIÑO;15560;15;A CORUÑA;15076;SAN SADURNIÑO;22/11/2000;99,66;
Entidade local territorial;MU;Municipio;2000/193;SANTISO;AGRO DO CHAO-ARCEDIAGO;AGRO DO CHAO-ARCEDIAGO;15808;15;A CORUÑA;15079;SANTISO;22/11/2000;67,38;
Entidade local territorial;MU;Municipio;2000/194;TOQUES;SOUTO - CAPELA;SOUTO-CAPELA;15809;15;A CORUÑA;15083;TOQUES;22/11/2000;77,93;
Entidade local territorial;MU;Municipio;2000/195;TORDOIA;PONTEPEDRA - CABALEIROS, S/N;PONTEPEDRA-CABALEIROS;15683;15;A CORUÑA;15084;TORDOIA;22/11/2000;124,55;
Entidade local territorial;MU;Municipio;2000/196;TOURO;FONTE DÍAZ S/N;FONTE DÍAZ;15822;15;A CORUÑA;15085;TOURO;22/11/2000;115,33;
Entidade local territorial;MU;Municipio;2000/197;VAL DO DUBRA;C/ARCAY, 41;BEMBIBRE;15873;15;A CORUÑA;15088;VAL DO DUBRA;22/11/2000;108,63;
Entidade local territorial;MU;Municipio;2000/198;VALDOVIÑO;PORTA DO SOL, S/N;AVIÑO-VALDOVIÑO;15552;15;A CORUÑA;15087;VALDOVIÑO;22/11/2000;88,22;
Entidade local territorial;MU;Municipio;2000/199;ABADÍN;CONCELLO, S/N.;ABADÍN;27730;27;LUGO;27001;ABADÍN;23/11/2000;196,02;
Entidade local territorial;MU;Municipio;2000/200;ANTAS DE ULLA;PRAZA DE ESPAÑA, 2;ANTAS DE ULLA;27570;27;LUGO;27003;ANTAS DE ULLA;23/11/2000;103,59;
Entidade local territorial;MU;Municipio;2000/201;BARREIROS;RÚA VILA,63;SAN COSME DE BARREIROS;27279;27;LUGO;27005;BARREIROS;23/11/2000;72,41;
Entidade local territorial;MU;Municipio;2000/202;BEGONTE;PRAZA IRMANS SOUTO MONTENEGRO, 1;BEGONTE;27373;27;LUGO;27007;BEGONTE;23/11/2000;126,80;
Entidade local territorial;MU;Municipio;2000/203;BÓVEDA;AV. ALFONSO XIII, 85;BÓVEDA;27340;27;LUGO;27008;BÓVEDA;23/11/2000;91,09;
Entidade local territorial;MU;Municipio;2000/204;CARBALLEDO;AVDA. DOS PEARES;A BARRELA;27520;27;LUGO;27009;CARBALLEDO;27/11/2000;138,85;
Entidade local territorial;MU;Municipio;2000/205;CASTRO DE REI;PRAZA MAIOR, Nº 1;CASTRO DE REI;27250;27;LUGO;27010;CASTRO DE REI;27/11/2000;176,97;
Entidade local territorial;MU;Municipio;2000/206;CASTROVERDE;PRAZA DO CONCELLO, 2;CASTROVERDE;27120;27;LUGO;27011;CASTROVERDE;27/11/2000;174,14;
Entidade local territorial;MU;Municipio;2000/207;CERVO;PRAZA DO CONCELLO, S/N;CERVO;27891;27;LUGO;27013;CERVO;27/11/2000;77,86;
Entidade local territorial;MU;Municipio;2000/208;COSPEITO;AVDA. DA TERRA CHA, 29;FEIRA DO MONTE;27377;27;LUGO;27015;COSPEITO;27/11/2000;144,78;
Entidade local territorial;MU;Municipio;2000/209;CHANTADA;PLAZA DE GALICIA, 1;CHANTADA;27500;27;LUGO;27016;CHANTADA;27/11/2000;0,00;
